Aasta,Sugu,Maakond,Rahvused kokku,Eestlased,Muud rahvused,Venelased,Ukrainlased,Valgevenelased,Soomlased,Tatarlased,Lätlased,Poolakad,Juudid,Leedulased,Sakslased,Armeenlased,Aserbaidžaanid,Rahvus teadmata
2021,Mehed ja naised,Lääne-Viru maakond,58402,50964,7384,5389,728,221,423,20,67,37,11,66,53,22,29,54
2021,Mehed ja naised,Põlva maakond,24473,23339,1120,784,133,13,54,5,23,5,2,4,22,1,4,14
2021,Mehed ja naised,Pärnu maakond,85760,76714,8920,5847,1144,247,535,45,234,52,20,78,127,43,13,126
2021,Mehed ja naised,Rapla maakond,33116,31190,1886,1098,231,91,165,9,34,7,3,16,49,6,15,40
2021,Mehed ja naised,Saare maakond,33032,32342,670,226,82,13,150,2,16,11,2,14,35,0,1,20
2021,Mehed ja naised,Tartu maakond,153912,129979,23762,16776,1425,387,1132,62,329,131,108,141,361,120,126,171
2021,Mehed ja naised,Valga maakond,27962,22449,5422,3550,456,171,86,13,688,21,8,31,54,16,2,91
2021,Mehed ja naised,Viljandi maakond,45877,43795,2043,1091,287,61,233,9,79,22,6,31,37,10,1,39
2021,Mehed ja naised,Võru maakond,34898,33110,1753,1262,134,36,65,1,71,12,4,9,26,4,1,35
2021,Mehed ja naised,Maakond teadmata,3643,750,680,289,89,13,122,3,44,5,8,8,9,1,1,2213
2021,Mehed,Kogu Eesti,630915,434671,191153,145769,14160,4918,4302,876,1918,771,1010,1014,1374,896,879,5091
2021,Mehed,Harju maakond,284994,168765,113368,82870,9947,3274,2266,617,854,507,822,670,738,648,666,2861
2021,Mehed,Hiiu maakond,4803,4705,91,26,11,5,13,0,3,0,2,0,5,0,0,7
2021,Mehed,Ida-Viru maakond,60785,11711,48987,44280,1372,1048,467,175,142,127,82,126,172,101,81,87
2021,Mehed,Jõgeva maakond,13713,12490,1213,970,70,21,60,3,17,1,1,10,16,7,0,10
2021,Mehed,Järva maakond,14561,13727,810,330,220,26,100,1,16,12,2,4,16,11,2,24
2021,Mehed,Lääne maakond,9744,8656,1047,727,79,26,44,7,15,4,2,15,24,0,1,41
2021,Mehed,Lääne-Viru maakond,28393,24913,3439,2458,354,88,192,4,40,16,8,34,29,14,22,41
2021,Mehed,Põlva maakond,12245,11693,540,360,70,5,30,0,14,3,1,1,15,1,3,12
2021,Mehed,Pärnu maakond,40708,36324,4286,2625,613,113,309,19,127,20,7,40,56,27,10,98
2021,Mehed,Rapla maakond,16487,15505,950,534,128,49,75,3,22,3,1,7,22,4,6,32
